edges,s1,s2,s3,s4,s5
30000,0.025867,0.040051,0.030444,0.02466,0.031115
5026500,0.883334,0.829262,0.904654,0.87352,0.877564
10023000,1.566,1.45481,1.54778,1.42987,1.43133
15019500,2.04397,2.21668,2.02665,2.06008,2.03619
20016000,2.57896,2.62186,2.59728,2.60118,2.62454
25012500,3.22123,3.2231,3.25805,3.10869,3.12254
30009000,3.68724,3.64372,3.71577,3.64821,3.67105
35005500,4.29405,4.26702,4.20133,4.17518,4.16156
40002000,4.76309,4.80409,4.70111,4.74177,4.70616
44998500,5.26213,5.25535,5.26455,5.30408,5.27518
49995000,5.84533,5.95612,5.87952,5.88067,5.88057
