edges,s1,s2,s3,s4,s5
30000,0.018418,0.017788,0.019435,0.019578,0.018156
5026500,1.97592,1.94592,1.96053,1.96178,1.97569
10023000,4.13967,4.15708,4.10236,4.15028,4.15753
15019500,6.55112,6.56817,6.50099,6.46643,6.47974
20016000,9.06141,9.00459,9.06182,9.04276,9.15478
25012500,11.6886,11.6827,11.5304,11.6482,11.6845
30009000,14.4858,14.4572,14.4225,14.3669,14.3841
35005500,17.2562,17.4502,17.3595,17.2621,17.2976
40002000,20.1865,20.2053,20.2581,20.1885,20.3085
44998500,22.8403,23.2066,23.1822,23.2152,23.2892
49995000,26.0217,26.1513,26.2011,26.1745,26.167
