edges,s1,s2,s3,s4,s5
30000,590098,590320,588616,588771,590695
5026500,10634849,10633551,10633595,10634431,10635853
10023000,20625986,20625315,20622618,20624594,20625702
15019500,30614191,30613618,30614081,30610662,30616033
20016000,40597026,40600506,40599587,40596229,40599884
25012500,50588379,50592736,50595309,50590011,50594187
30009000,60569250,60570380,60571947,60570413,60566993
35005500,70560964,70559835,70562299,70558035,70557842
40002000,80551519,80554153,80553200,80553020,80551622
44998500,90539140,90540770,90538898,90540038,90541725
49995000,100523314,100525658,100523759,100527770,100523984
