edges,s1,s2,s3,s4,s5
30000,423765,423658,422947,422543,423761
5026500,10473611,10472914,10473106,10474221,10473215
10023000,20468982,20468030,20468019,20467240,20468706
15019500,30462062,30460380,30459773,30458774,30460171
20016000,40448254,40449286,40449395,40445669,40447223
25012500,50437674,50440221,50441061,50439752,50442360
30009000,60422889,60424283,60424543,60424108,60423778
35005500,70416219,70415443,70415808,70413575,70415265
40002000,80403536,80404538,80403544,80404378,80402845
44998500,90388764,90390669,90391447,90392596,90389948
49995000,100376806,100379289,100378948,100381595,100376820
