edges,s1,s2,s3,s4,s5
30000,0.020808,0.020012,0.020187,0.020187,0.020891
5026500,1.9067,1.91208,1.89563,1.88745,1.8887
10023000,4.15547,4.06873,4.11664,4.07056,4.09199
15019500,6.4867,6.48642,6.44453,6.60264,6.43412
20016000,8.79733,8.68895,8.93379,8.9203,9.03697
25012500,11.6249,11.5318,11.5627,11.648,11.5702
30009000,14.3861,14.4028,14.3479,14.4119,14.4046
35005500,17.2494,17.2644,17.2626,17.3899,17.0808
40002000,20.2476,20.0973,20.1515,20.099,20.1004
44998500,23.0173,23.12,23.2153,23.0707,23.124
49995000,26.1246,25.7502,26.077,26.1923,26.2297
