edges,s1,s2,s3,s4,s5
30000,0.054114,0.047122,0.046511,0.043487,0.047296
5026500,25.6815,25.8219,25.7229,25.5266,25.8026
10023000,62.3095,57.6945,60.2543,63.4129,62.5747
15019500,-,-,-,-,-
