edges,s1,s2,s3,s4,s5
30000,349846,350254,349442,349125,350870
5026500,10409133,10408179,10408648,10409654,10408706
10023000,20408116,20408571,20408461,20407441,20407600
15019500,30403983,30403434,30402653,30401825,30402860
20016000,40393433,40393864,40393860,40393536,40393770
25012500,50384661,50384912,50384752,50384311,50384529
30009000,60375032,60373762,60373712,60372984,60373438
35005500,70364393,70363870,70363050,70364931,70363906
40002000,80352011,80352692,80352023,80352553,80352573
44998500,90335592,90336058,90337162,90336985,90335918
49995000,100321179,100321394,100321833,100322377,100321297
