edges,s1,s2,s3,s4,s5
3000,44389,44806,44659,44239,44326
9000,128151,110498,96994,102796,110370
27000,191156,197429,132633,151591,153246
81000,248183,276005,263243,256924,238760
243000,580392,575608,588300,652772,579758
