edges,b1,b2,b3,b4
101999,0.05,0.05,0.06,0.04
306000,0.07,0.06,0.07,0.07
918000,0.10,0.09,0.10,0.08
2754000,0.18,0.18,0.14,0.16
8262000,0.39,0.31,0.38,0.37
800000000,0.00,0.00,0.00,0.00
