edges,b1,b2,b3,b4
101999,0.22,0.23,0.14,0.27
306000,0.19,0.22,0.25,0.21
918000,0.25,0.34,0.16,0.26
2754000,0.32,0.39,0.38,0.37
8262000,0.62,0.74,0.73,0.61
800000000,0.00,0.00,0.00,0.00
