edges,b1,b2,b3,b4
101999,0.04,0.04,0.04,0.04
306000,0.05,0.05,0.05,0.05
918000,0.07,0.07,0.06,0.07
2754000,0.12,0.12,0.12,0.12
8262000,0.25,0.25,0.25,0.24
800000000,0.00,0.00,0.00,0.00
