Edges,1 Thread,2 Threads,4 Threads,12 Threads
33999,0.09,0.15,0.2,0.57
102000,0.1,0.15,0.22,0.44
306000,0.14,0.14,0.215,0.46
918000,0.23,0.25,0.3,0.65
2754000,0.53,0.54,0.82,1.36
8262000,1.43,1.58,1.97,2.95
24786000,4.05,4.4,5.28,8.1
