edges,s1,s2,s3,s4,s5
300000,7148556,7154677,7156131,7148004,7156089
900000,19712989,19104429,19491813,18851035,19411419
2700000,27185923,29615122,32407783,28117910,34535734
8100000,39010884,40628383,40913255,44029877,39709010
24300000,75635582,73267107,80589517,70714594,69990439
