Edges,1 Thread,2 Threads,4 Threads,12 Threads
16999,0.03,0.04,0.05,0.44
51000,0.04,0.04,0.06,0.27
153000,0.05,0.06,0.08,0.25
459000,0.1,0.1,0.15,0.33
1377000,0.22,0.23,0.33,0.62
4131000,0.60,0.70,0.82,1.30
12393000,1.67,1.90,2.11,3.13
