Edges,1 Thread,2 Threads,4 Threads,12 Threads
16999,0.08,0.11,0.19,0.44
51000,0.1,0.1,0.22,0.45
153000,0.13,0.15,0.23,0.5
459000,0.23,0.27,0.35,0.73
1377000,0.53,0.55,0.72,1.22
4131000,1.41,1.61,1.89,2.95
12393000,4.03,4.26,5.13,7.87
